English_Sentence,Hindi_Sentence,Word_Count_English,Word_Count_Hindi,WC_Difference,Char_Count_English,Char_Count_Hindi,CC_Difference
एंट्रिक्स इसरो की व्यवसायिक इकाई है और देवास एक निजी कंपनी.,शीला दीक्षित दिल्ली की तीन बार मुख्यमंत्री रह चुकी है.,11,10,1,59,54,5
"पॉल ने कहा, ‘आज रात मेरे यहां होने का कारण लोगों को जवाबदेही के लिए मजबूर करना है।",यह कार्यक्रम पहले ही तय हो गया था.,18,8,10,82,34,48
सैफ अली खान की बेटी सारा के साथ दिखे अनिल कपूर के बेटे हर्षवर्धन.,"मंडी डबवाली, 29 जनवरी (निस)",14,5,9,65,27,38
"(विराट) कोहली, (मुरली) विजय और (जयंत) यादव के कैच टपकाना भारी पड़ा।",उन्होंने कहा कि पार्टी के ही कई लोग भाजपा को दगा देकर दूसरे प्रत्याशियों को जिताने में लगे रहे।,12,19,-7,66,95,-29
उन्होंने कहा कि चलिए अभी करते हैं।,पीएम किसान की एक और हेल्पलाइन है: 0120-6025109,7,8,-1,34,46,-12
"उपलब्‍ध सूचना के अनुसार, 20 राज्‍यों ओर 2 संघ राज्‍य क्षेत्रों में भि‍क्षावृत्‍ति‍ निषेध कानून हैं जैसा कि‍ अनुबंध में दि‍या गया है।","क्या बहुत दुखता है? क्या आपरेशन है यह? वे एक ऑपरेशन के बारे में बात करते हैं, लेकिन मुझे समझ नहीं आता. महिलाओं का मामला है. यह क्या है?",23,29,-6,132,135,-3
"ग्रीस में सभी स्कूल, विश्वविद्यालय, सिनेमाघर, जिम और नाइट क्लब बंद कर दिए गए हैं।",इसके अलावा उम्मीदवार ऑफलाइन मोड में भी आवेदन कर सकते हैं.,15,11,4,81,57,24
डिविलियर्स ने वनडे श्रृंखला के लिए वापसी की और दस्ताने भी लिए जबकि मार्क बाउचर ठीक हो रहे थे।,अबूधाबी के शहजादे मोहम्मद बिन जायेद अल नाहयान अगले वर्ष भारत के गणतंत्र दिवस परेड में मुख्य अतिथि होंगे।,19,19,0,93,104,-11
ये ले जाने पड़ेंगे दस्तावेज,"बातचीत शुरू होने, हिंसा में कमी आने पर तालिबान कैदी रिहा होंगे",5,12,-7,27,62,-35
भयंकर आंधी-तूफान ने ढाया फसलों पर कहर,वालों के खिलाफ सख्त कार्रवाई होगी.,7,6,1,37,34,3
"विद्युत, कोयला और नवीन एवं नवीकरणीय ऊर्जा राज्‍य मंत्री (स्‍वतंत्र प्रभार) ने आज राज्‍य सभा में एक प्रश्‍न के लिखित उत्‍तर में यह जानकारी दी।",बालूगंज थाना पुलिस ने महिला जज की शिकायत पर आरोपी के खिलाफ आईटी एक्ट के तहत मामला दर्ज किया है।,25,20,5,141,95,46
दिल्ली के मुख्य चुनाव आयुक्त रनबीर सिंह ने इसका एलान किया है.,लेकिन आईपीएल के साथ पीएसएल की तुलना करना उचित नहीं है।,12,11,1,61,54,7
इन सारी परियोजनाओं को दो साल से कम अवधि में पूरा करना है।,"जर्मनी में गैर-जरूरी दुकानें, स्कूल और रेस्तरां बंद हैं और सख्त संपर्क प्रतिबंध लागू हैं।",13,15,-2,57,89,-32
प्रधानमंत्री नरेन्द्र मोदी पर ‘रासायनिक हमले' की धमकी देने और राष्ट्रीय सुरक्षा गार्ड (एनएसजी) के नियंत्रण कक्ष में फोन करने के आरोप में पुलिस ने मुंबई से 22 वर्षीय युवक को गिरफ्तार किया है।,केंद्रीय मंत्री और उत्‍तर प्रदेश के अमेठी से बीजेपी प्रत्‍याशी स्‍मृति इरानी ने एक बार फिर कांग्रेस अध्‍यक्ष राहुल गांधी पर हमला बोला है।,34,24,10,190,137,53
डोनाल्ड ट्रंप की बेटी इवांका ट्रंप सुबह प्रतियोगिता स्थल पर जाकर उनसे मिलीं।,उसके पिता फौरन उसे पास के निजी अस्पताल ले गए जहां डॉक्टरों ने उसे ऑक्सीजन लगाया।,13,16,-3,76,80,-4
"पूरे मैच के दौरान उसने ऐसा किया, उसने स्टुअर्ट (ब्रॉड) के साथ मिलकर अच्छा मंच तैयार किया और पूरी गेंदबाजी इकाई ने अच्छा प्रदर्शन किया.",क्रिकेट की तरह राजनीति में भी हर सितारा कपिलदेव या सचिन तेंदुलकर नहीं बन जाता.,25,15,10,134,78,56
"यहदेखागयाहैकिमॉडलविधिका अनुच्छेद 1(2) नकेवलअनुच्छेद9को अपितु अनुच्छेद8, 35 और36कोभीऐसे अन्तर्राष्ट्रीय माध्यस्थयों पर लागूकरनेकेलिएसमर्थ बनाता हैजहां पाध्यस्थमस्थलदेश सेबाहरहो।",मध्यकाल में ये मंदिर ध्वस्त होकर खंडहरों में तबदील हो गए थे।,16,12,4,176,60,116
मुजफ्फर अहमद को आजीवन निर्वासन का दंड दिया गया था.,जो रेस्पॉन्स मिला उससे हम सब खुश हैं।,10,8,2,50,37,13
"इसके लिए करदाताओं को सीपीसी संदर्भ संख्या और पासवर्ड की जरूरत होगी, जो नोटिस पर उल्लिखत होती है।",कई लोगों के घायल होने की सूचना भी मिल रही है।,18,11,7,96,45,51
द हिंदू की रिपोर्ट के मुताबिक मुख्यमंत्री महबूबा मुफ्ती ने इस बारे में केंद्रीय गृह मंत्री राजनाथ सिंह से अपील की थी.,मनोरंजन उद्योग ने रोजगार सृजन के क्षेत्र में उसके योगदान को वित्त मंत्री द्वारा सराहे जाने पर भी प्रसन्नता व्यक्त की है।,22,22,0,117,120,-3
पिछले वर्ष जून में एफएटीएफ ने पाकिस्तान को ग्रे लिस्ट में डाल दिया था।,"""वह १९२० मे जन्म हुआ।",14,5,9,70,21,49
"मुख्यमंत्री विजय रूपानी(राजकोट पश्चिम) और उप मुख्यमंत्री नितिन पटेल (मेहसाणा) एक वक्त कांग्रेस उम्मीदवारों से पिछड़ते दिखाई दे रहे थे, लेकिन बाद में दोनों ने बढ़त बनाई।","फिल्\\u200dम में प्रतीक बब्\\u200dबर के साथ सिद्धांत कपूर, इशिता राज शर्मा, अनीता राज, शुभा राजपूत और दलीप ताहिल मुख्\\u200dय भूमिकाएं निभा रहे हैं।",27,23,4,168,148,20
कोई तुम्हारे लिए कुछ नहीं कर सकता । ”,प्रांतवाद का विष किस सीमा तक जा सकता है इसका यह एक उदाहरण हैं।,9,14,-5,37,62,-25
दक्षिण से लेकर उत्तर तक के करोड़ों लोगों को भारत यात्रा के जरिए इस मुद्दे के बारे में जागरूक किया गया है।,उन्होंने कहा कि अगर आसिया किसी अन्य मामले में वांछित नहीं हैं तो वह तुरंत लाहौर के समीप शेखपुरा स्थित जेल से मुक्त होकर जा सकती हैं।,22,27,-5,105,132,-27
हाल ही में करीना ने Couture Week 2018 इवेंट में शिरकत की। यहां करीना अपने हुस्न के जलवे बिखेरती नजर आई। करीना ने रैंप वॉक कर दर्शकों का दिल जीत लिया।,अमेरिका के बाद फ्रांस ने भी मुंबई हमले के मुख्य षड्यंत्रकारी हाफिज सईद को रिहा करने को लेकर पाकिस्तान को अपनी नाखुशी से अवगत करा दिया है.,31,27,4,149,137,12
उन्होंने कहा कि सरकार का उद्देश्य भारत को विकास की नयी ऊंचाइयों पर ले जाना है।,"पूर्व मुख्य चुनाव आयुक्त एसवाई कुरैशी ने ट्वीट किया, ‘यह बताते हुए दुख हो रहा है कि टीएन शेषन अब हमारे बीच नहीं रहे",16,24,-8,78,115,-37
यह मोटरसाइकिल ट्यूबलर स्टील चेसिस और हुस्कवरना से लेकर एल्यूमीनियम स्विंगमोर पर आधारित है।,साथ ही उन्होंने कहा की पीएम मोदी की अगुवाई में देश तरक्की की राह पर है.,14,16,-2,90,71,19
"मौत स्वच्छ पेयजल उपलब्ध नहीं होने, सफाई, उचित पोषण या बुनियादी स्वास्थ्य सेवाओं की कमी के कारण होती है।",स्टेप 2- रिजल्ट लिंक के सेक्शन पर क्लिक करें.,19,9,10,103,45,58
गुजरात के अहमदाबाद की एक पारिवारिक अदालत ने एक व्यक्ति की उस याचिका को खारिज कर दिया है जिसमें उसने अपनी पत्नी से इस आधार पर तलाक मांगा था कि उसे दाढ़ी है और उसकी आवाज पुरुषों जैसी है.,दूसरी तरफ सीएसके की टीम 10 मैचों में 14 अंक के साथ दूसरे स्थान पर है और बाकी बचे चार मैचों में एक जीत प्ले आफ में उसकी जगह पक्की कर देगी।,39,32,7,184,137,47
"यह मॉडल एक नए हेडलाइट संयोजन, गाड़ी के अगले और पिछले धुरों के बीच की दूरी 1,320 मिमी और मानक एक समान आवाज वाले भोंपू तथा ट्रिप मीटर की भी शुरूआत करता है।","इससे पहले, दर्शकों का स्वागत करते हुए, निफ्ट महानिदेशक श्री सुधीर त्रिपाठी, फैशन शिक्षा और उद्योग के विकास में निफ्ट के योगदान की बात कही और कहा कि संस्थान छात्रों को बौद्धिक प्रेरणा का एक प्रखर वातावरण प्रदान करता है।",33,40,-7,153,218,-65
परिणामस्वरूप कुछ लोग शायद “परमेश्‍वर की महिमा ” करने लगें । — १ पतरस २: १२.,सीढिय़ों से गिरने के चलते पूर्व सैनिक की मौत,16,9,7,75,43,32
रमन सिंह ने डाला वोट,मेरी फैमिली बेहद कंज़र्वेटिव है।,5,5,0,20,32,-12
नाबालिग का यौन उत्पीड़न करने के आरोप में 30 वर्षीय व्यक्ति गिरफ्तार,"पुलिस ने लूटपाट के अारोपी से चोरी के 6 बाइक, एक एक्टिवा और आल्टो कार बरामद की है।",12,18,-6,67,81,-14
"परीक्षण के दौरान, प्रतिभागियों और हमारे कलाकारों ने जानकारी साझा नहीं की।",इसके तुरंत बाद उसने फोन रख दिया।,12,7,5,73,32,41
इस फिल्म के टीजर ने रिलीज होते ही धमाल मचा दिया है.,"तौभी मैं यहोवा के कारण आनन्दित और मगन रहूंगा, और अपने उद्धारकर्त्ता परमेश्वर के द्वारा अति प्रसन्न रहूंगा।।",12,18,-6,51,107,-56
"इंडो-इस्राइल चैंबर्स ऑफ कामर्स के अध्यक्ष रवीव बायरॉन ने कहा, टाटा ने भारत-इस्राइल संबंधों के लिए बहुत कुछ किया है।",इस मामले में पत्नी मीरा राजपूत से अलग है शाहिद कपूर की सोच,20,13,7,115,58,57
लीक्स के अनुसार यह फोन iQOO 3 नाम से बाजार में दस्तक देगा।,सोशल मीडिया पर खबरें वायरल हो रही हैं कि प्रियंका चोपड़ा और निक जोनस तलाक लेने वाले हैं।,13,18,-5,58,88,-30
"अध्यक्ष महोदय, मैंने climate change का उल्लेख किया।",राज्य के कुल कार्य बल का लगभग 75% कृषि और संबंधित क्रियाकलापों में लगा हुआ हैं।,8,16,-8,51,79,-28
सभी तरह के प्रोडक्शन प्लांट पर फिलहाल रोक लगा दी गई है.,मैंने अपनी आँखों से देखा है।,12,6,6,55,28,27
इसी बीच गृहमंत्री अमि .,स्थानीय से वैश्विक: खादी मास्क की विदेशी बाजारों में दस्तक,5,10,-5,23,58,-35
अभी तक इस बाबत किसी से बात नहीं की है.,पुलिस ने दोनों आरोपियों से पूछताछ के लिए उनको अदालत में पेश कर रिमांड पर ले लिया है।,10,18,-8,38,84,-46
भवन जिसे पट्टा प्रथा पर दिया गया हो।,यह कहना है केंद्रीय रेलमंत्री और कोयला मंत्री पीयूष गोयल का।,8,11,-3,36,60,-24
169 रुपये वाले वोडाफोन प्लान के साथ आपको अनलिमिटेड वॉयस कॉलिंग की सुविधा मिलेगी।,न्याय में देरी किसी भी व्यक्ति के कानून हाथ में लेने की वजह नहीं हाेनी चाहिए।,14,16,-2,80,77,3
इसके बाद उन्होंने लोकायुक्त पुलिस को शिकायत की ।,इस कारण लोगों को बीमारियों से जूझना पड़ रहा है।,9,10,-1,48,47,1
भोपाल से कांग्रेस प्रत्याशी दिग्विजय सिंह ने नहीं डाला वोट।,इस बारे में पुलिस ने आरोपियों के खिलाफ मामला दर्ज कर जांच शुरू कर दी है।,10,16,-6,59,72,-13
"हमने तुम्हें सत्य के साथ भेजा है, शुभ-सूचना देनेवाला और सचेतकर्ता बनाकर। और जो भी समुदाय गुज़रा है, उसमें अनिवार्यतः एक सचेतकर्ता हुआ है","नेशनल स्टाक एक्सचेंज का निफ्टी भी 9.70 अंक की मामूली गिरावट के साथ 7,842.70 अंक पर बंद हुआ।",24,18,6,136,91,45
इस बंद का कांग्रेस ने भी समर्थन किया।,कोर्ट से उसे न्यायिक हिरासत में जेल भेज दिया गया।,8,10,-2,37,49,-12
भारी बारिश के चलते बढ़ा रहा है नदियों का जलस्तर,निश्चित तौर पर मानव जाति के लिए यह सब कुछ अकल्पनीय है।,10,12,-2,47,54,-7
और उस के सात बच्चे हैं।,बताया जा रहा है कि उनकी तबीयत और खराब हो गई है।,6,12,-6,23,47,-24
"बीमारियों पर जीत हासिल करना पीढ़ी - दर - पीढ़ी से चेचक जैसी संक्रामक बीमारियों की वजह से महामारी फैली थी, चारों तरफ आतंक छाया था और बड़ी तादाद में लोगों की जानें भी जा रही थीं ।","आरबीएस में प्रबंध निदेशक और वैश्विक बाजारों के प्रमुख रमित भसीन ने कहा, 'भारत से दूर भगा रहे मसले साल की दूसरी छमाही में नहीं रहेंगे और साल के अंत तक मौजूदा स्तर में 10 फीसदी इजाफा देख सकते हैं।",38,40,-2,177,194,-17
इस राष्ट्रीय प्रतियोगिता में 7 टीमों ने हिस्सा लिया।,लेकिन इसके लिए अभी इंतजार करना ही ठीक होगा।,9,9,0,52,43,9
"डॉ. हर्षवर्धन ने राज्य सरकारों द्वारा किए गए कार्यों और अग्रिम पंक्ति के स्वास्थ्य कार्यकर्ताओं द्वारा किए गए निवारण, आंगनवाड़ी कार्यकर्ताओं, पुलिस और अर्धसैनिक कर्मियों के कार्यों की सराहना की जो राष्ट्र हित में अपनी ड्यूटी से अधिक काम कर रहे हैं","क्या आखिकार उन्हें अहसास हो गया कि 'धर्मनिरपेक्ष' पार्टियों ने उनके लिए कुछ किया नहीं है, केवल उनके डर को भुनाया है कि तुम मुझे वोट दो और मैं तुम्हें भाजपा/संघ से बचाने की कोशिश करूंगा?",42,36,6,247,185,62
पाकिस्तान के उत्तर पश्चिमी नौशेरा शहर में आज एक सूफी धर्मस्थल और एक मस्जिद को निशाना बनाकर किए गए बम विस्फोट में 10 लोगों की मौत हो गई तथा 30 अन्य लोग घायल हो गये।,यह इस तथ्य से स्पष्ट होता है कि वित्त वर्ष 2018-19 की तुलना में वित्त वर्ष 2019-20 में बीआरओ ने लगभग 30 प्रतिशत अधिक कार्यों का सफलतापूर्वक पूरा किया है,35,30,5,163,152,11
"लोगों को बिना हाथ धोये आंख, नाक और चेहरे का स्पर्श न करने का परामर्श दिया गया है।",अहमदाबाद जिले में दोनों सीटों पर कांग्रेस ने जीत दर्ज की जबकि पोरबंदर जिले में एक सीट पर बीजेपी ने जीत दर्ज की।,18,23,-5,81,111,-30
प्रोपोजल को स्वीकृति मिलते ही कार्य शुरू किया जाएगा।,कि हमेशा हमारे घरों में कंप्युटर नहीं हुआ करते थे.,9,10,-1,52,50,2
यूक्रेन सरकार ने शिकायत की है कि आतंकवादी 38 शवों को विद्रोहियों के कब्जे वाले शहर डोनेत्सक स्थित शवगृह ले गए हैं।,पीएम मोदी वाराणसी से चुनाव लड़ेंगे जबकि गृह मंत्री राजनाथ सिंह पुरानी सीट लखनऊ से जबकि नितिन गडकरी नागपुर से प्रत्याशी होंगे।,22,22,0,114,125,-11
इस तरह की सारी चर्चा बेबुनियाद है।,"सीसीके कॉम्‍पलेक्‍स, कालिदास रोड Road, विजयनगर फर्स्‍ट स्‍टेज",7,8,-1,34,61,-27
डब्ल्यूएचओ की फंडिंग रोकने का अमेरिका का फैसला गैर-जिम्मेदाराना : रूस,सन् 1942 में सरकार ने मकबरे के इर्द्-गिर्द एक मचान सहित पैड़ बल्ली का सुरक्षा कवच तैयार कराया था।,11,19,-8,69,97,-28
"' उन्होंने कहा, 'अगर हमारे पास संख्या बल होता, तो हम किसी का इंतजार नहीं करते।",कृषि एवं संबद्ध विज्ञानों में स्नातकोत्तर उत्कृष्ट डॉक्टोरल थीसिस (शोध प्रबंध) अनुसंधान के लिए जवाहरलाल नेहरू पुरस्कार 2017,16,18,-2,78,123,-45
अलमारी में रखे नकदी और जेवरात गायब थे।,हालांकि बीजेपी इसपर राजी नहीं है.,8,6,2,38,33,5
पुलिस हाऊसिंग कॉरपोरेशन को पुलिस कर्मियों के लिए मकान बनाने के लिए 300 करोड़ रूपए की राशि दी गई है।,"मस्तिष्क, यकृत और धारीदार मांसपेशियों पर जहरीले प्रभाव दिखाने के लिए कार्यात्मक और जैव रासायनिक साक्ष्य।",20,16,4,99,104,-5
पुदीने का एंटी-इंफ्लैमटोरी और एंटी-बैक्टिरीयल गुण पाए जाते है।,किशोरी के बयान भी कोर्ट में दर्ज कराए गए हैं।,9,10,-1,62,45,17
विज्ञान का जन्म हो गया।,फरीदाबाद देश के प्रदूषित शहरों की सूची में हमेशा ही शामिल रहता है।,5,13,-8,23,66,-43
आढ़तियों की हड़ताल से महंगी होने लगीं सब्जियां,2 किलो अफीम के साथ एक काबू,8,7,1,46,26,20
इन सारी बातों का हम पर क्या असर होता है?,"इसका मुख्यालय मैनहैटन, न्यू यॉर्क शहर में है।",10,8,2,40,45,-5
गोरपार खरसीया मण्डल में भारत के छत्तीसगढ़ राज्य के अन्तर्गत रायगढ़ जिले का एक गाँव है।,ओडिशा के मुख्\\u200dयमंत्री नवीन पटनायक (Naveen Patnaik) ने राज्\\u200dय विधानसभा में ऐलान किया कि सभी शिक्षण संस्थान 31 मार्च तक बंद रहेंगे।,16,22,-6,86,141,-55
"मंदना ने कहा, ‘‘मेरे पास एक बड़े प्रोडक्शन हाउस से फोन और उन्होंने मुझे बताया कि उनके पास मेरे पालतू कुत्ते के लिए बहुत ही रोचक भूमिका है।","पर्यटन मंत्रालय होटल वर्गीकरण मार्गदर्शन नियमों को सरल, पारदर्शी और समयबद्ध बनाने के लिए व्यवस्थित करना होटल वर्गीकरण मार्गदर्शन नियमों को सरल, पारदर्शी और समयबद्ध बनाने के लिए व्यवस्थित किया गया है।",28,32,-4,138,199,-61
"मलावी के साक्षियों ने बुरी तरह सताए जाने के बावजूद, क्या करना नहीं छोड़ा?","उन्होंने कहा, ‘मैं इससे काफी डरा हुआ हूं।",14,8,6,73,41,32
और इसके लिए कोई अलग से साफ्टवेयर की भी आवश्यकता न रहेगी।,जस्टिस केएम जोसेफ को सुप्रीमकोर्ट के जज के तौर पर नियुक्त करने को लेकर विवाद थमने का नाम नहीं ले रहा है।,12,22,-10,56,104,-48
तो पहला बिना साबित हुवा दावा है कि आप मस्तिष्क स्कैन का उपयोग कर सकते हैं,"हमने सम्मिलित होकर लाखों श्वास लीं हैं,",16,7,9,73,39,34
ऐसे विरोध प्रदर्शनों से देश और इसके संस्थानों की छवि खराब होती है।,इसके लिए तैयारी शुरू की।,13,5,8,66,24,42
पुलिस ने अज्ञात में हत्या का मामला दर्ज कर लिया है।,मैं १५ बर्ष की थी जब ८ लोगों ने मेरा सामूहिक बलात्कार किया था.,11,14,-3,51,62,-11
"आर्मेनिया के लेवोन आरोनियन, नकामूरा और ब्लादीमिर क्रामनिक चार अंक लेकर तीसरे स्थान पर हैं।",इनका सामना करने के लिए हमें एकजुट होना होगा।,15,9,6,90,44,46
अध्याय 6: मरे हुए कहाँ हैं?,घरेलू बाजार में उर्वरकों की उपलब्‍धता,6,6,0,27,37,-10
सबसे ख़ास बात ये है कि इस टर्मिनल के निर्माण का शिलान्यास भी प्रधानमंत्री मोदी ने 2017 में किया था।,मोदी सरकार स्वयं हिंसा और बंटवारे की जननी बन गई है।,20,11,9,99,51,48
खाद्य उत्पादन में वृद्धि से प्राकृतिक संसाधनों को बचाने में भी सहायता मिलेगी।,"कॉन्स्टैन्टाइन के अनुरोध पर, व्यवसायी जॉर्ज एव्रौफ़ पानाथिनाइको स्टेडियम के नवीनीकरण का भुगतान करने के लिए सहमत हुए।",13,18,-5,77,116,-39
"करीना कपूर खान, अपने पति सैफ अली खान और बहन करिश्मा कपूर के साथ पहुंचीं।","उन्‍होंने कहा है कि किसी भी मरीज का एंटीजन टेस्ट नेगेटिव है, लेकिन लक्षण हैं, तो आरटी-पीसीआर टेस्ट किया जाना चाहिए।",15,21,-6,72,115,-43
तो क्या परमेश्वर इसका विचार न करता? क्योंकि वह तो मन की गुप्त बातों को जानता है।,उसने परिवार के विरोध के बावजूद घर से भाग कर शादी की थी।,17,13,4,80,55,25
सदस्यों का विचार था कि बोली लगाने वाले की भागीदारी और पात्रता के बारे में जांच की जाएगी और पार्किंग क्षेत्र के हिसाब से आरक्षित मूल्य तय करने के बाद निर्णय लिया जाएगा।,"अर्जेंटीना के ब्यूनस आयर्स में आयोजित होने वाले जी-20 शिखर सम्मेलन से इतर अमरीकी राष्ट्रपति डोनाल्ड ट्रंप, प्रधानमंत्री नरेंद्र मोदी और जापान के प्रधानमंत्री शिंजो आबे एकसाथ बैठक करेंगे।",33,29,4,167,186,-19
घटना औरंगाबाद के अंकोरा रेलवे,उन्होंने कहा कि भाजपा ने राज्य में राज्यपाल शासन का समर्थन किया है।,5,13,-8,29,67,-38
( ख) आज स्मारक में किस तरह की दाख - मदिरा का इस्तेमाल किया जा सकता है?,"आप सच्चे दिल से लोगों की मदद करना चाहते हैं, ताकि वे परमेश्‍वर के बारे में सच्चाई सीख सकें ।",17,20,-3,70,92,-22
यह घोषणा मुख्यमंत्री वीरभद्र सिंह ने आज प्रदेश विधानसभा में प्रश्नकाल के दौरान की।,"पिछले एक दशक (वित्त वर्ष 2008-17) में, भारत ने बुनियादी ढांचे पर लगभग 1.1 ट्रिलियन डॉलर का निवेश किया है",14,20,-6,82,104,-22
इसके बाद वे कई संसदीय समितियों में शामिल रहे हैं।,"18 जवानों की हुई थी मौत, भारतीय सुरक्षा बलों पर सबसे बड़े हमलों में से एक",10,16,-6,49,73,-24
सिर्फ उन्‍हें ही नहीं बल्कि पूरी टीम को।,केन्द्रीय गृह मंत्री ने राष्ट्र हित में एक साथ खड़े होने की आवश्यकता बतायी।,8,14,-6,40,75,-35
पुलिस लोगों से सोशल मीडिया पर फैलाई जाने वाले अफवाहों पर ध्यान न देने और इसकी शिकायत अधिकारियों से करने के लिए कह रही है।,81 किग्रा लाइट हैवीवेट वर्ग में रेलवे के मनीष पवार ने मध्यप्रदेश के राहुल को 3-2 से पराजित कर स्वर्ण जीता।,25,21,4,121,106,15
नेहरू के जन्मदिन को बाल दिवस के रूप में मनाया जाता है।,"संवाददाताओं से बातचीत के दौरान उन्‍होंने कहा, 'कश्मीर बेहद जटिल स्‍थान है।",12,12,0,54,74,-20
टीम इंडिया अभी तक इस टूर्नामेंट में अजेय रही है।,यह समिति अपनी अधिसूचना की तिथि से दो महीने के भीतर अपनी रिपोर्ट दाखिल करेगी।,10,15,-5,48,76,-28
"मोदी ने कहा, ‘‘दशकों से ऐसी धारणा थी कि कुछ चीजें भारत में नामुमकिन हैं।",ऑटो एक्सपो 2018: मोस्ट स्टाईलिश वेस्पा का इलेक्ट्रिक वर्जन वेस्पा इलेट्रिका पेश,15,12,3,72,79,-7
"शीर्ष 3 कंपनियों में जयपुर से सर्व वेब्स, हैदराबाद से पीपललिंक और अलाप्पुझा से टेकजेनसिया शामिल हैं।",और (उस दिन को याद) करो जिस दिन हर शख़्श अपनी ज़ात के बारे में झगड़ने को आ मौजूद होगा,17,20,-3,100,82,18
जेएनयू में छात्रों के समर्थन में दीपिका खड़ी हुई थी और अपना समर्थन दिया है.,सास की पिटाई करने के आरोप में महिला गिरफ्तार,15,9,6,75,44,31
"""उन्होंने कहा, """"पाकिस्तान की सरकार व लोगों ने बड़े प्रयास किए हैं और आतंकवाद के खिलाफ लड़ाई में कुर्बानियां दी हैं और इस तरह के प्रयास व कुर्बानियों को सभी को देखना चाहिए.""","हालांकि स्टेडियम मुख्य रूप से एक रग्बी और क्रिकेट का मैदान था और क्रूसेडर्स रग्बी यूनियन टीम का घर था, जो सुपर रग्बी में प्रतिस्पर्धा करते हैं।",33,27,6,173,143,30
इसलिए सिर्फ बोले गए शब्दों का ही नहीं बल्कि अनकहे शब्दों का मतलब भी समझने की कोशिश कीजिए ।,तलवार ने इस आधार पर जमानत मांगी थी कि उसे हिरासत में रखने से किसी उद्देश्य की पूर्ति नहीं होगी।,19,20,-1,90,95,-5
उन्हें अजस्ट करने का भी मौका नहीं मिल पाता है।,दीपक भी श्रीसंत को चुप कराने की कोशिश करते हैं और उन्हें बाहर आने की रिक्वेस्ट करते हैं।,10,18,-8,46,88,-42
दो तेजस एक्सप्रेस IRCTC द्वारा चलाई जा रही प्राइवेट ट्रेनों का पहला सेट हैं.,यह प्रक्रिया लगातार करते रहें।,14,5,9,76,30,46
"वर्टिकल वॉल माउण्टेड इलेक्ट्रिक वॉटर हीटर की आपूर्ति, संस्थापना, परीक्षण और कमीशनिंग (एसआईटीसी)",नवविवाहित जोड़ों के लिए दिन अच्छा है।,13,7,6,95,37,58
कोच नहीं अटैच होने पर या रूट डायवर्ट होने पर यात्रियों को लोअर क्लास उपलब्ध कराया जाता है।,अपनी दोस्‍ती को और मजबूत बनाने के लिए हमारे पास असीम संभावनाएं हैं।,18,13,5,90,67,23
यह दरवाजा खुला क्यों है?,इस बीच जम्मू कश्मीर की मुख्यमंत्री महबूबा मुफ्ती ने इस हत्याकांड की निंदा की है।,5,15,-10,24,80,-56
गंगाजल शुद्ध माना जाता है तो कोई भी शुद्दिकरण की जरूरत नहीं होती है।,चारों तरफ एक कम ऊँचाई का नलांबलम है।,14,8,6,68,36,32
3 बच्चों समेत महिला ने की खुदकुशी,महोत्सव में जम्मू-कश्मीर से लेकर तमिलनाडु और गुजरात से लेकर नगालैंड में निर्मित जनजातीय वस्त्र उपलब्ध होंगे।,7,17,-10,33,108,-75
विदेश मंत्री एस जयशंकर औपचारिक रूप से भाजपा में शामिल,ताकि वह किसी को नुकसान ना पहंचा सके।,10,8,2,53,36,17
"दमदार फीचर्स वाला OnePlus Nord आज भारत में होगा लॉन्च, ऐसे देखें लाइव स्ट्रीमिंग",मीडिया से मेरा अनुरोध है कि इस तरह की झूठी खबरों से लोगों की भावनाओं के साथ खेलने से बचना चाहिए।,14,21,-7,80,96,-16
यह भी पढ़ें: सपा-बसपा की राह हुई अलग?,"शमसुल का भाई इनामुल हक 2012 बैच के IPS अधिकारी हैं, जो पूर्वोत्तर में तैनात हैं।",8,16,-8,37,80,-43
प्रतिनिधिमंडल ने मुख्यमंत्री से अपील की कि अनिल के परिवार को 50 लाख रुपए की आर्थिक मदद दी जाए और परिवार के एक सदस्य को सरकारी नौकरी दी जाए।,भारत ने अपनी राजनयिक देवयानी खोबरागड़े के खिलाफ खराब बर्ताव का कमजोर आपराधिक आरोप लगाने की अमेरिकी पेशकश ठुकरा दी और जोर देकर कहा कि सभी आपराधिक आरोप वापस लिए जाने चाहिए।,29,32,-3,139,170,-31
